date,total_cases,population
2021-06-23,36104,1441553
2021-06-20,36036,1441553
2022-04-25,238763,1441553
2020-07-02,956,1441553
2021-09-26,75758,1441553
2022-03-15,231844,1441553
2020-09-10,10420,1441553
2020-03-19,39,1441553
2022-03-17,232845,1441553
2021-08-01,41090,1441553
2020-12-01,17751,1441553
2021-02-06,26325,1441553
2022-05-23,258781,1441553
2022-02-02,216412,1441553
2021-05-27,34807,1441553
2020-08-11,3927,1441553
2021-05-09,33613,1441553
2020-04-09,469,1441553
2022-05-12,251759,1441553
2022-03-01,230575,1441553
2020-02-11,0,1441553
2020-04-18,572,1441553
2021-12-22,92157,1441553
2021-05-05,33186,1441553
2020-12-19,19691,1441553
2020-05-01,607,1441553
2021-03-16,28357,1441553
2021-12-28,101371,1441553
2021-02-23,27168,1441553
2021-10-17,79832,1441553
2022-07-19,309561,1441553
2020-10-15,13724,1441553
2021-02-11,26591,1441553
2021-04-05,30427,1441553
2020-03-03,0,1441553
2020-11-01,15075,1441553
2020-08-27,7803,1441553
2022-03-23,233569,1441553
2020-05-09,620,1441553
2020-03-07,1,1441553
2021-08-02,41446,1441553
2021-05-26,34754,1441553
2022-07-04,301246,1441553
2021-04-06,30479,1441553
2020-04-20,578,1441553
2021-10-22,80399,1441553
2021-03-22,28912,1441553
2022-04-12,235797,1441553
2020-10-28,14834,1441553
2020-01-30,0,1441553
2020-04-23,592,1441553
2020-07-14,1267,1441553
2020-08-02,2424,1441553
2020-02-16,0,1441553
2022-05-25,267602,1441553
2020-06-30,908,1441553
2021-10-09,78786,1441553
2021-08-11,45920,1441553
2020-02-21,0,1441553
2021-01-06,21846,1441553
2020-09-26,12077,1441553
2020-05-16,629,1441553
2022-01-15,161766,1441553
2021-05-15,34064,1441553
2020-12-06,18266,1441553
2022-04-20,238763,1441553
2021-08-17,50180,1441553
2020-08-15,5014,1441553
2022-05-21,258781,1441553
2020-10-21,14185,1441553
2020-05-20,635,1441553
2021-02-19,26950,1441553
2021-03-08,27862,1441553
2021-11-09,82454,1441553
2020-04-26,597,1441553
2020-08-26,7540,1441553
2022-04-06,235797,1441553
2022-01-31,214249,1441553
2020-07-21,1409,1441553
2020-03-25,119,1441553
2021-06-09,35461,1441553
2020-09-05,9816,1441553
2020-06-17,750,1441553
2021-06-03,35152,1441553
2020-02-25,0,1441553
2020-08-09,3608,1441553
2022-01-24,200209,1441553
2022-01-01,112283,1441553
2020-12-08,18397,1441553
2021-11-06,82159,1441553
2022-01-11,146000,1441553
2020-05-21,635,1441553
2021-03-09,27903,1441553
2022-05-01,241955,1441553
2021-12-31,109576,1441553
2021-01-26,25272,1441553
2022-03-24,233569,1441553
2022-06-16,290652,1441553
2022-01-14,155839,1441553
2022-02-04,219059,1441553
2020-07-11,1197,1441553
2021-08-12,46463,1441553
2021-04-25,32284,1441553
2020-07-23,1521,1441553
2020-03-26,136,1441553
2021-11-24,84239,1441553
2020-04-11,503,1441553
2021-09-01,61800,1441553
2020-10-19,14024,1441553
2021-03-07,27821,1441553
2022-07-15,309561,1441553
2020-10-30,14933,1441553
2022-05-29,267602,1441553
2020-09-06,9920,1441553
2021-04-21,31885,1441553
2021-07-04,36604,1441553
2022-06-15,290652,1441553
2021-04-19,31779,1441553
2021-11-20,83896,1441553
2020-06-14,724,1441553
2020-05-11,623,1441553
2021-03-12,28062,1441553
2022-04-04,234659,1441553
2020-09-16,11060,1441553
2022-04-10,235797,1441553
2020-10-04,12819,1441553
2020-06-22,805,1441553
2020-09-19,11368,1441553
2021-07-09,36834,1441553
2022-04-02,234659,1441553
2020-03-21,59,1441553
2021-07-22,38284,1441553
2020-03-02,0,1441553
2021-08-07,43977,1441553
2021-03-18,28509,1441553
2020-04-27,598,1441553
2020-08-03,2567,1441553
2021-12-09,85676,1441553
2021-05-25,34708,1441553
2020-04-12,507,1441553
2021-10-15,79562,1441553
2020-06-07,663,1441553
2022-05-27,267602,1441553
2021-01-13,23141,1441553
2020-07-05,1012,1441553
2022-02-14,226510,1441553
2020-08-19,5818,1441553
2020-08-01,2217,1441553
2021-07-21,38066,1441553
2022-06-25,296007,1441553
2021-04-03,30246,1441553
2021-04-09,30754,1441553
2020-02-14,0,1441553
2021-06-27,36297,1441553
2020-06-10,679,1441553
2022-02-24,229477,1441553
2020-04-19,576,1441553
2021-11-26,84334,1441553
2020-01-24,0,1441553
2020-05-28,641,1441553
2021-09-23,74606,1441553
2022-06-11,283574,1441553
2020-10-24,14501,1441553
2020-03-14,7,1441553
2021-12-03,85086,1441553
2020-05-27,638,1441553
2022-03-29,233569,1441553
2021-08-21,53153,1441553
2020-12-20,19893,1441553
2020-05-31,644,1441553
2022-03-19,232845,1441553
2021-02-04,26101,1441553
2021-10-16,79697,1441553
2020-05-23,636,1441553
2020-02-18,0,1441553
2020-02-10,0,1441553
2021-04-24,32165,1441553
2020-03-23,93,1441553
2020-04-03,373,1441553
2021-09-05,65315,1441553
2022-05-18,258781,1441553
2022-01-06,127085,1441553
2021-08-06,43377,1441553
2022-03-11,231844,1441553
2022-02-09,222974,1441553
2020-12-02,17819,1441553
2021-04-28,32465,1441553
2020-08-04,2738,1441553
2021-07-19,37839,1441553
2020-07-10,1177,1441553
2021-11-21,83992,1441553
2021-01-08,22372,1441553
2020-10-25,14618,1441553
2021-01-23,24950,1441553
2021-07-24,38741,1441553
2020-12-26,20537,1441553
2021-05-28,34844,1441553
2020-10-17,13907,1441553
2021-05-30,35008,1441553
2021-06-24,36157,1441553
2021-10-31,81586,1441553
2020-07-16,1309,1441553
2022-05-30,267602,1441553
2020-12-30,20851,1441553
2021-12-15,86857,1441553
2021-02-15,26803,1441553
2020-04-08,458,1441553
2020-12-21,20025,1441553
2021-03-21,28834,1441553
2020-02-08,0,1441553
2020-03-24,102,1441553
2021-11-01,81650,1441553
2021-05-13,33835,1441553
2020-01-28,0,1441553
2021-03-13,28218,1441553
2021-10-07,78405,1441553
2022-04-28,241955,1441553
2020-11-25,17298,1441553
2020-03-04,0,1441553
2020-02-09,0,1441553
2022-06-26,296007,1441553
2020-04-30,607,1441553
2021-03-30,29689,1441553
2020-03-15,10,1441553
2020-04-07,449,1441553
2021-02-03,26000,1441553
2020-03-29,230,1441553
2020-06-21,802,1441553
2022-06-17,290652,1441553
2020-10-27,14715,1441553
2020-06-03,647,1441553
2021-12-06,85413,1441553
2021-12-25,97022,1441553
2021-11-25,84315,1441553
2021-02-22,27124,1441553
2020-03-08,2,1441553
2020-07-26,1683,1441553
2020-06-24,833,1441553
2021-11-08,82379,1441553
2020-02-03,0,1441553
2022-02-26,230097,1441553
2021-03-19,28602,1441553
2020-10-02,12699,1441553
2021-08-26,56492,1441553
2020-11-06,15584,1441553
2022-04-16,237097,1441553
2020-09-17,11179,1441553
2022-03-07,231659,1441553
2021-07-15,37318,1441553
2020-10-12,13477,1441553
2021-10-06,78127,1441553
2020-11-03,15229,1441553
2022-06-19,290652,1441553
2020-11-09,15892,1441553
2020-08-14,4795,1441553
2022-03-18,232845,1441553
2022-02-07,221983,1441553
2021-10-13,79255,1441553
2021-02-01,25870,1441553
2020-05-29,644,1441553
2022-05-19,258781,1441553
2020-08-05,2887,1441553
2021-06-18,35919,1441553
2021-04-10,30956,1441553
2020-06-20,798,1441553
2021-02-24,27211,1441553
2022-05-07,246110,1441553
2022-04-03,234659,1441553
2021-08-22,54038,1441553
2020-04-16,544,1441553
2021-05-23,34654,1441553
2021-09-07,66554,1441553
2021-09-17,72137,1441553
